ID,SEQUENCE,POS,PROJECT,FILE
1455,create json validator,VB NNP NN,liferay-portal,JSONFactoryImpl.java
1456,deserialize,VB,liferay-portal,JSONFactoryImpl.java
1457,get null json,VB JJ NNP,liferay-portal,JSONFactoryImpl.java
1458,get unmodifiable json object,VB JJ NNP NN,liferay-portal,JSONFactoryImpl.java
1459,loose deserialize,RB VB,liferay-portal,JSONFactoryImpl.java
1460,loose serialize,RB VB,liferay-portal,JSONFactoryImpl.java
1461,loose serialize deep,RB VB NN,liferay-portal,JSONFactoryImpl.java
1462,serialize,VB,liferay-portal,JSONFactoryImpl.java
1463,serialize throwable,VB JJ,liferay-portal,JSONFactoryImpl.java
1464,clear cache,VB NN,liferay-portal,RatingsEntryUtil.java
1465,count with dynamic query,VB IN JJ NN,liferay-portal,RatingsEntryUtil.java
1466,find with dynamic query,VB IN JJ NN,liferay-portal,RatingsEntryUtil.java
1467,find by uuid,VB IN NNP,liferay-portal,RatingsEntryUtil.java
1468,find by uuid_ first,VB IN NNP JJ,liferay-portal,RatingsEntryUtil.java
1469,fetch by uuid_ first,VB IN NNP JJ,liferay-portal,RatingsEntryUtil.java
1470,find by uuid_ last,VB IN NNP JJ,liferay-portal,RatingsEntryUtil.java
1471,fetch by uuid_ last,VB IN NNP JJ,liferay-portal,RatingsEntryUtil.java
1472,find by uuid_ prev and next,VB IN NNP JJ CC JJ,liferay-portal,RatingsEntryUtil.java
1473,remove by uuid,VB IN NNP,liferay-portal,RatingsEntryUtil.java
1474,count by uuid,VB IN NNP,liferay-portal,RatingsEntryUtil.java
1475,find by uuid_ c,VB IN NNP FW,liferay-portal,RatingsEntryUtil.java
1476,find by uuid_ c_ first,VB IN NNP FW JJ,liferay-portal,RatingsEntryUtil.java
1477,fetch by uuid_ c_ first,VB IN NNP FW JJ,liferay-portal,RatingsEntryUtil.java
1478,find by uuid_ c_ last,VB IN NNP FW JJ,liferay-portal,RatingsEntryUtil.java
1479,fetch by uuid_ c_ last,VB IN NNP FW JJ,liferay-portal,RatingsEntryUtil.java
1480,find by uuid_ c_ prev and next,VB IN NNP FW JJ CC JJ,liferay-portal,RatingsEntryUtil.java
1481,remove by uuid_ c,VB IN NNP FW,liferay-portal,RatingsEntryUtil.java
1482,count by uuid_ c,VB IN NNP FW,liferay-portal,RatingsEntryUtil.java
1483,find by c_ c,VB IN FW FW,liferay-portal,RatingsEntryUtil.java
1484,find by c_ c_ first,VB IN FW FW JJ,liferay-portal,RatingsEntryUtil.java
1485,fetch by c_ c_ first,VB IN FW FW JJ,liferay-portal,RatingsEntryUtil.java
1486,find by c_ c_ last,VB IN FW FW JJ,liferay-portal,RatingsEntryUtil.java
1487,fetch by c_ c_ last,VB IN FW FW JJ,liferay-portal,RatingsEntryUtil.java
1488,find by c_ c_ prev and next,VB IN FW FW JJ CC JJ,liferay-portal,RatingsEntryUtil.java
1489,remove by c_ c,VB IN FW FW,liferay-portal,RatingsEntryUtil.java
1490,count by c_ c,VB IN FW FW,liferay-portal,RatingsEntryUtil.java
1491,find by u_ c_ c,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1492,fetch by u_ c_ c,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1493,remove by u_ c_ c,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1494,count by u_ c_ c,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1495,find by c_ c_ s,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1496,find by c_ c_ s_ first,VB IN FW FW FW JJ,liferay-portal,RatingsEntryUtil.java
1497,fetch by c_ c_ s_ first,VB IN FW FW FW JJ,liferay-portal,RatingsEntryUtil.java
1498,find by c_ c_ s_ last,VB IN FW FW FW JJ,liferay-portal,RatingsEntryUtil.java
1499,fetch by c_ c_ s_ last,VB IN FW FW FW JJ,liferay-portal,RatingsEntryUtil.java
1500,find by c_ c_ s_ prev and next,VB IN FW FW FW JJ CC JJ,liferay-portal,RatingsEntryUtil.java
1501,remove by c_ c_ s,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1502,count by c_ c_ s,VB IN FW FW FW,liferay-portal,RatingsEntryUtil.java
1503,cache result,NN NN,liferay-portal,RatingsEntryUtil.java
1504,update impl,VB NNP,liferay-portal,RatingsEntryUtil.java
1505,find by primary key,VB IN JJ NN,liferay-portal,RatingsEntryUtil.java
1506,fetch by primary key,VB IN JJ NN,liferay-portal,RatingsEntryUtil.java
1507,fetch by primary keys,VB IN JJ NNS,liferay-portal,RatingsEntryUtil.java
1508,find all,VB DT,liferay-portal,RatingsEntryUtil.java
1509,remove all,VB DT,liferay-portal,RatingsEntryUtil.java
1510,count all,NN DT,liferay-portal,RatingsEntryUtil.java
1511,get bad column names,VB JJ NN NNS,liferay-portal,RatingsEntryUtil.java
1512,get persistence,VB NN,liferay-portal,RatingsEntryUtil.java
1513,set persistence,VB NN,liferay-portal,RatingsEntryUtil.java
1514,translate,VB,liferay-portal,TypeTranslator.java
1515,add permission fields,VB NN NNS,liferay-portal,SearchPermissionChecker.java
1516,get permission boolean filter,VB NN JJ NN,liferay-portal,SearchPermissionChecker.java
1517,update permission fields,VB NN NNS,liferay-portal,SearchPermissionChecker.java
1518,fetch asset entry,VB NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1519,get mine base models count,VB PRP NN NNS NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1520,get parent base model class name,VB NN NN NN NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1521,get recent base models count,VB JJ NN NNS NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1522,get search keywords,VB NN NNS,liferay-portal,BookmarksEntryTrashHandlerTest.java
1523,is asset entry visible,VBZ NN NN JJ,liferay-portal,BookmarksEntryTrashHandlerTest.java
1524,move base model from trash,VB NN NN IN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1525,move parent base model to trash,VB NN NN NN TO VB,liferay-portal,BookmarksEntryTrashHandlerTest.java
1526,search base models count,VB NN NNS NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1527,search trash entries count,VB NN NNS VBP,liferay-portal,BookmarksEntryTrashHandlerTest.java
1528,update base model,VB NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1529,add base model with workflow,VB NN NN IN JJ,liferay-portal,BookmarksEntryTrashHandlerTest.java
1530,delete parent base model,VB NN NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1531,get base model,VB NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1532,get base model class,VB NN NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1533,get not in trash base models count,VB RB IN NN NN NNS NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1534,get parent base model,VB NN NN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1535,get unique title,VB JJ NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1536,get workflowed model,VB VBN NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1537,move base model to trash,VB NN NN TO NN,liferay-portal,BookmarksEntryTrashHandlerTest.java
1538,get indexer,VB NN,liferay-portal,IndexerRegistryUtil.java
1539,get indexer registry,VB NN NN,liferay-portal,IndexerRegistryUtil.java
1540,get indexers,NN NNS,liferay-portal,IndexerRegistryUtil.java
1541,null safe get indexer,JJ JJ VB NN,liferay-portal,IndexerRegistryUtil.java
1542,unregister,VB,liferay-portal,IndexerRegistryUtil.java
1543,to soap model,TO NN NN,liferay-portal,RoleSoap.java
1544,to soap models,TO NN NNS,liferay-portal,RoleSoap.java
1545,get primary key,VB JJ NN,liferay-portal,RoleSoap.java
1546,set primary key,VB JJ NN,liferay-portal,RoleSoap.java
1547,get mvcc version,VB NNP NN,liferay-portal,RoleSoap.java
1548,set mvcc version,VB NNP NN,liferay-portal,RoleSoap.java
1549,set uuid,VB NNP,liferay-portal,RoleSoap.java
1550,get role id,VB NN NN,liferay-portal,RoleSoap.java
1551,set role id,VB NN NN,liferay-portal,RoleSoap.java
1552,get company id,VB NN NN,liferay-portal,RoleSoap.java
1553,set company id,VB NN NN,liferay-portal,RoleSoap.java
1554,get user id,VB NN NN,liferay-portal,RoleSoap.java
1555,set user id,VB NN NN,liferay-portal,RoleSoap.java
1556,get user name,VB NN NN,liferay-portal,RoleSoap.java
1557,set user name,VB NN NN,liferay-portal,RoleSoap.java
1558,get create date,VB VB NN,liferay-portal,RoleSoap.java
1559,set create date,VB VB NN,liferay-portal,RoleSoap.java
1560,get modified date,VB JJ NN,liferay-portal,RoleSoap.java
1561,set modified date,VB JJ NN,liferay-portal,RoleSoap.java
1562,get class name id,VB NN NN NN,liferay-portal,RoleSoap.java
1563,set class name id,VB NN NN NN,liferay-portal,RoleSoap.java
1564,get class pk,VB NN FW,liferay-portal,RoleSoap.java
1565,set class pk,VB NN FW,liferay-portal,RoleSoap.java
1566,get subtype,VB NN,liferay-portal,RoleSoap.java
1567,set subtype,VB NN,liferay-portal,RoleSoap.java
1568,get expando column local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1569,set expando column local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1570,get expando column service,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1571,set expando column service,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1572,get expando column persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1573,set expando column persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1574,get expando row local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1575,set expando row local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1576,get expando row persistence,VB VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1577,set expando row persistence,VB VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1578,get expando table local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1579,set expando table local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1580,get expando table persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1581,set expando table persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1582,get expando value local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1583,set expando value local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1584,get expando value service,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1585,set expando value service,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1586,get expando value persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1587,set expando value persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1588,get counter local service,VB NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1589,set counter local service,VB NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1590,get class name local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1591,set class name local service,VB NN NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1592,get class name service,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1593,set class name service,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1594,get class name persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1595,set class name persistence,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1596,get resource local service,VB NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1597,set resource local service,VB NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1598,get user local service,VB NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1599,set user local service,VB NN JJ NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1600,get user service,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1601,set user service,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1602,get user persistence,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1603,set user persistence,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1604,get user finder,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1605,set user finder,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1606,get model class,VB NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1607,get model class name,VB NN NN NN,liferay-portal,ExpandoColumnServiceBaseImpl.java
1608,get model attributes,VB NN NNS,liferay-portal,AssetVocabularyWrapper.java
1609,set model attributes,VB NN NNS,liferay-portal,AssetVocabularyWrapper.java
1610,get available language ids,VB JJ NN NNS,liferay-portal,AssetVocabularyWrapper.java
1611,get categories,VB NNS,liferay-portal,AssetVocabularyWrapper.java
1612,get categories count,VB NNS NN,liferay-portal,AssetVocabularyWrapper.java
1613,get default language id,VB NN NN NN,liferay-portal,AssetVocabularyWrapper.java
1614,get description current language id,VB NN JJ NN NN,liferay-portal,AssetVocabularyWrapper.java
1615,get description current value,VB NN JJ NN,liferay-portal,AssetVocabularyWrapper.java
1616,get description map,VB NN NN,liferay-portal,AssetVocabularyWrapper.java
1617,get expando bridge,VB NN NN,liferay-portal,AssetVocabularyWrapper.java
1618,get last publish date,VB JJ VB NN,liferay-portal,AssetVocabularyWrapper.java
1619,get primary key obj,VB JJ NN NN,liferay-portal,AssetVocabularyWrapper.java
1620,get required class name ids,VB JJ NN NN NNS,liferay-portal,AssetVocabularyWrapper.java
1621,get selected class name ids,VB JJ NN NN NNS,liferay-portal,AssetVocabularyWrapper.java
1622,get selected class type p ks,VB JJ NN NN FW FW,liferay-portal,AssetVocabularyWrapper.java
1623,get settings properties,VB NNS NNS,liferay-portal,AssetVocabularyWrapper.java
1624,get title current language id,VB NN JJ NN NN,liferay-portal,AssetVocabularyWrapper.java
1625,get title current value,VB NN JJ NN,liferay-portal,AssetVocabularyWrapper.java
1626,get title map,VB NN NN,liferay-portal,AssetVocabularyWrapper.java
1627,get unambiguous title,VB JJ NN,liferay-portal,AssetVocabularyWrapper.java
1628,get user uuid,VB NN NN,liferay-portal,AssetVocabularyWrapper.java
1629,get vocabulary id,VB NN NN,liferay-portal,AssetVocabularyWrapper.java
1630,has more than one category selected,VBZ JJR IN CD NN VBN,liferay-portal,AssetVocabularyWrapper.java
1631,is associated to class name id,VBZ VBN TO NN NN NN,liferay-portal,AssetVocabularyWrapper.java
1632,is associated to class name id and class type p k,VBZ VBN TO NN NN NN CC NN NN FW FW,liferay-portal,AssetVocabularyWrapper.java
1633,is cached model,VBZ VBN NN,liferay-portal,AssetVocabularyWrapper.java
1634,is escaped model,VBZ VBN NN,liferay-portal,AssetVocabularyWrapper.java
1635,is missing required category,VBZ JJ JJ NN,liferay-portal,AssetVocabularyWrapper.java
1636,is multi valued,VBZ RB VBN,liferay-portal,AssetVocabularyWrapper.java
1637,is new,VBZ JJ,liferay-portal,AssetVocabularyWrapper.java
1638,is required,VBZ JJ,liferay-portal,AssetVocabularyWrapper.java
